x,vel,angle,angle_vel
-0.36154783,-0.37932894,0.015769973,0.08323255
-0.6807889,-0.32915008,-0.00086132006,-0.23757195
-0.0365029,-0.38316667,-0.0455197,0.16807029
-1.073269,-0.521791,0.00013151813,0.00037902966
-1.6203108,-0.5169952,-0.0040905476,-0.10541448
-1.3233252,-0.5199845,-0.008584937,-0.03947223
-0.9105761,-0.3928398,-0.006732209,-0.12767549
0.02506087,-0.005547669,-0.03421938,-0.034503195
-0.014013063,0.17752892,0.0040622624,-0.1659562
0.021277536,0.18916672,-0.02785391,-0.3182735
-0.542386,-0.18093999,0.0088957045,-0.17703144
0.026884157,-0.040449433,-0.015405004,0.12200992
-0.698775,-0.18199804,0.0011657112,-0.15368102
-1.2833514,-0.52978575,0.00090828695,-0.079214476
-0.8896485,-0.18663651,-0.00436835,-0.15586431
0.03502735,0.020758612,-0.053142358,-0.18936792
-0.33858296,-0.52622706,0.004909398,0.09823759
-0.16970697,-0.5438447,-0.012812546,0.23095052
-0.012072093,-0.16431172,-0.058539283,0.13803217
